"id","age","male","eduyears","employed","income"
198,56,0,17,1,2200
198,26,0,17,1,1180
199,56,0,17,1,1200
199,26,0,17,1,700
200,58,1,7,1,6000
201,58,1,7,1,6000
202,54,1,7,1,300
202,51,0,7,1,350
202,33,1,17,1,1000
203,55,1,7,1,NA
203,33,1,17,1,600
204,45,1,17,1,4000
205,46,1,17,1,4300
206,26,1,12.5,1,1970
207,26,1,12.5,1,NA
209,56,1,17,1,1150
209,59,0,12.5,1,2500
210,32,1,17,1,700
210,31,0,17,1,1800
211,32,1,17,1,600
211,29,0,17,1,1200
212,55,0,17,1,1340
213,54,1,9.5,1,1000
213,54,0,17,1,1351
213,25,1,14,1,200
213,23,0,14,1,200
216,67,1,7,1,150
217,67,1,7,1,100
217,23,0,14,1,500
218,31,0,12.5,1,1600
219,33,0,14,1,1400
222,56,1,12.5,1,NA
222,52,0,12.5,1,900
223,56,1,12.5,1,900
223,52,0,12.5,1,NA
224,44,1,12.5,1,1000
224,44,0,17,1,700
225,44,1,12.5,1,1000
225,45,0,17,1,700
228,50,1,9.5,1,1000
228,33,0,9.5,1,NA
230,36,0,12.5,1,300
231,45,0,7,1,300
232,45,0,7,1,320
233,41,1,17,1,400
234,41,1,17,1,400
235,50,1,3.5,1,NA
235,25,1,12.5,1,NA
236,36,1,12.5,1,1200
236,36,0,12.5,1,300
237,41,1,14,1,2200
237,31,0,17,1,1600
238,41,1,12.5,1,1070
239,70,1,17,1,2800
241,58,0,17,1,4200
241,29,0,17,1,1200
241,27,1,14,1,1300
242,73,1,7,1,1170
243,73,1,7,1,1290
244,32,1,17,1,NA
244,29,0,14,1,1100
245,33,1,12.5,1,2500
245,37,0,17,1,1200
246,35,1,12.5,1,1000
246,32,0,12.5,1,100
247,25,0,14,1,600
248,59,1,7,1,400
248,30,0,14,1,600
249,58,1,12.5,1,1450
250,49,1,7,1,1200
251,65,1,17,1,6300
252,27,1,17,1,890
253,38,0,9.5,1,420
254,56,0,17,1,3700
255,49,1,7,1,NA
256,35,1,9.5,1,2400
258,28,0,14,1,1000
259,51,1,7,1,800
260,43,0,17,1,1200
261,37,1,7,1,350
262,47,1,7,1,1350
262,44,0,7,1,900
263,34,1,7,1,700
264,64,1,17,1,NA
264,31,0,17,1,1100
265,42,0,9.5,1,3000
269,60,0,12.5,1,200
269,22,1,14,1,800
270,60,0,12.5,1,200
270,23,1,14,1,820
271,29,1,9.5,1,2000
272,39,1,12.5,1,1000
273,52,1,3.5,1,560
273,18,1,9.5,1,400
274,52,1,3.5,1,250
274,56,0,3.5,1,10
274,24,0,3.5,1,150
275,42,1,9.5,1,450
275,43,0,7,1,520
276,42,1,7,1,NA
276,43,0,7,1,428
277,48,1,9.5,1,600
277,51,0,17,1,1000
278,57,0,17,1,800
278,26,1,12.5,1,1000
279,58,0,17,1,850
279,26,1,12.5,1,1100
280,61,1,3.5,1,1300
280,26,0,9.5,1,NA
281,25,0,12.5,1,260
281,20,1,9.5,1,700
282,39,1,9.5,1,660
282,38,0,17,1,2500
283,40,1,9.5,1,400
283,39,0,17,1,1800
284,35,1,9.5,1,700
284,35,0,7,1,400
285,35,1,7,1,500
285,35,0,7,1,400
286,29,1,9.5,1,1000
287,28,1,9.5,1,800
288,42,0,17,1,1500
288,45,1,9.5,1,2000
288,67,0,17,1,600
290,33,1,7,1,1700
290,34,0,7,1,1356
294,52,1,17,1,2650
294,50,0,12.5,1,1500
295,52,1,17,1,1660
295,50,0,12.5,1,500
296,56,0,9.5,1,200
297,45,1,17,1,1500
297,29,0,12.5,1,800
298,48,0,3.5,1,NA
298,23,1,7,1,NA
298,20,0,9.5,1,NA
299,61,1,3.5,1,350
301,71,1,12.5,1,520
302,71,1,12.5,1,660
303,64,1,7,1,800
303,38,1,9.5,1,600
304,63,1,7,1,970
304,38,1,9.5,1,800
305,61,1,12.5,1,950
306,45,1,3.5,1,1200
307,69,1,12.5,1,1300
307,41,0,17,1,1800
307,43,1,14,1,700
308,34,1,9.5,1,2000
308,41,0,7,1,1650
309,41,1,9.5,1,860
311,38,1,14,1,2000
312,47,0,17,1,1630
313,47,0,17,1,2000
314,60,0,7,1,200
314,29,1,9.5,1,60
315,53,1,3.5,1,700
315,45,0,3.5,1,295
315,29,1,14,1,500
315,23,0,9.5,1,150
316,62,1,17,1,1500
316,46,1,17,1,300
317,42,1,7,1,1280
317,42,0,7,1,580
318,33,0,9.5,1,NA
319,56,0,12.5,1,1820
319,27,0,12.5,1,900
321,26,1,14,1,NA
322,27,1,14,1,NA
322,31,0,17,1,600
323,32,1,12.5,1,1500
324,46,1,12.5,1,2000
326,68,1,9.5,1,450
327,40,0,14,1,650
329,60,1,7,1,300
329,28,0,12.5,1,150
330,38,1,14,1,900
331,39,1,7,1,300
332,30,0,12.5,1,600
333,51,1,14,1,3100
333,35,0,14,1,1510
334,56,1,12.5,1,400
334,32,1,12.5,1,700
334,34,1,12.5,1,300
335,57,1,7,1,710
335,28,1,9.5,1,NA
339,56,1,7,1,300
339,51,0,7,1,800
339,24,1,14,1,300
340,66,1,9.5,1,1000
340,57,0,7,1,1200
341,40,0,12.5,1,1350
342,18,1,9.5,1,400
343,68,0,12.5,1,600
344,60,1,17,1,NA
345,52,1,14,1,6800
345,46,0,17,1,2000
346,53,1,14,1,NA
346,46,0,17,1,NA
