"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"11618",16,642377,6423773,1999,18,"","0","basal","pobre",16013029,1,"",NA,"",NA,683,1.05,1,"Male","Non Indigenous",43,1,800,400,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,690.68,-7.67999999999995,1
"11621",16,691766,6917666,1999,13,"","si","basal","pobre",16080035,1,"si",4,"primaria",6,395.33,4.3,1,"Female","Non Indigenous",50,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,690.68,-295.35,1
"11629",16,641136,6411363,1999,15,"","0","basal","pobre",16013029,1,"si",4,"primaria",7,447,3.69,1,"Male","Non Indigenous",40,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-243.68,1
"11632",16,566340,5663405,1999,14,"","si","basal","pobre",16112018,1,"si",NA,"primaria",6,442.34,2.88,1,"Female","Non Indigenous",46,1,600,300,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-248.34,1
"11657",16,567930,5679305,1999,15,"","si","basal","no pobre",16112128,1,"si",2,"secundaria",6,731,0.56,0,"Female","Non Indigenous",38,1,700,900,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,690.68,40.3200000000001,0
"11659",16,690253,6902532,1999,17,"","0","basal","pobre",16053077,1,"si",6,"primaria",6,783.5,2.41,1,"Female","Non Indigenous",18,1,500,300,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,690.68,92.8200000000001,0
"11665",16,640009,6400094,1999,14,"","si","basal","pobre",16099088,1,"si",1,"secundaria",6,536,1.46,1,"Male","Non Indigenous",41,0,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-154.68,1
"11666",16,567680,5676805,1999,15,"","si","basal","pobre",16112085,1,"si",2,"secundaria",6,540,1.5,1,"Female","Non Indigenous",38,1,800,400,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,690.68,-150.68,1
"11668",16,304009,3040095,1999,17,"","0","basal","no pobre",16053053,1,"si",2,"secundaria",6,758,1.43,1,"Female","Non Indigenous",44,0,800,600,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,690.68,67.3200000000001,0
"11685",16,567810,5678107,1999,16,"","si","basal","no pobre",16112085,1,"si",3,"secundaria",6,754,1.04,1,"Female","Non Indigenous",45,1,600,400,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,690.68,63.3200000000001,0
"11696",16,652867,6528675,1999,16,"","0","basal","pobre",16079060,1,"",NA,"",NA,673,3.81,1,"Male","Non Indigenous",48,1,500,300,"5th primary","using only (2)","matched (3)",16,"1 . 1",1,1,1,NA,1,1,690.68,-17.6799999999999,1
"11698",16,306601,3066014,1999,16,"","0","basal","pobre",16077015,1,"si",3,"secundaria",6,681,1.04,1,"Female","Non Indigenous",46,1,800,0,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,690.68,-9.67999999999995,1
"11700",16,654062,6540623,1999,17,"","0","basal","pobre",16009102,1,"si",6,"primaria",6,568,3,1,"Female","Non Indigenous",48,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,690.68,-122.68,1
"11701",16,416402,4164023,1999,18,"","0","basal","pobre",16022013,1,"si",6,"primaria",6,431,5.04,1,"Female","Non Indigenous",25,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,690.68,-259.68,1
"11708",16,160366,1603665,1999,15,"","si","basal","pobre",16038084,1,"si",1,"secundaria",6,659,2.23,1,"Female","Non Indigenous",55,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,690.68,-31.6799999999999,1
"11710",16,468210,4682107,1999,16,"","0","basal","pobre",16082151,1,"si",6,"primaria",6,340,3.52,1,"Male","Non Indigenous",41,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,690.68,-350.68,1
"11720",16,470530,4705305,1999,16,"","0","basal","pobre",16047068,1,"no",NA,"",NA,679,1.95,1,"Male","Non Indigenous",56,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,690.68,-11.6799999999999,1
"11730",16,640672,6406726,1999,16,"","si","basal","pobre",16079056,1,"si",2,"primaria",7,734,1.13,1,"Male","Non Indigenous",43,1,700,600,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,690.68,43.3200000000001,0
"11746",16,642385,6423854,1999,15,"","si","basal","pobre",16013029,1,"si",2,"secundaria",6,665,1.08,1,"Female","Non Indigenous",43,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,690.68,-25.6799999999999,1
"11755",16,658042,6580425,1999,15,"","si","basal","pobre",16079060,1,"si",6,"primaria",6,620.75,1.68,1,"Female","Non Indigenous",54,1,600,100,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,690.68,-69.9299999999999,1
"11762",16,609961,6099616,1999,16,"","0","basal","no pobre",16082075,1,"si",6,"primaria",6,758,1.48,1,"Female","Non Indigenous",55,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,690.68,67.3200000000001,0
"11766",16,469710,4697105,1999,18,"","0","basal","no pobre",16031037,1,"si",6,"primaria",6,742.5,1.4,1,"Female","Non Indigenous",65,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,690.68,51.8200000000001,0
"11772",16,304007,3040076,1999,14,"","0","basal","pobre",16053053,1,"si",1,"secundaria",6,494,2.78,1,"Female","Non Indigenous",41,1,700,200,"1st Secondary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,690.68,-196.68,1
"11777",16,653295,6532955,1999,14,"","si","basal","pobre",16009102,1,"si",6,"primaria",6,607.5,1.8,1,"Female","Non Indigenous",45,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,690.68,-83.1799999999999,1
"11779",16,465670,4656708,1999,17,"","0","basal","no pobre",16035025,1,"si",2,"secundaria",6,729.75,2.11,1,"Female","Non Indigenous",57,1,800,200,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,690.68,39.0700000000001,0
