"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"11",12,493154,4931545,1999,19,"","","basal","no pobre",12042003,1,"si",5,"primaria",8,752.25,3.94,1,"Female","Non Indigenous",56,1,500,0,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,751,1.25,0
"12",12,333040,3330403,1999,16,"","0","basal","pobre",12004018,1,"si",2,"secundaria",6,758,3.03,1,"Male","Indigenous",40,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,751,7,0
"13",12,520856,5208564,1999,17,"","0","basal","pobre",12045016,1,"si",6,"primaria",7,668.5,4.87,1,"Female","Non Indigenous",47,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-82.5,1
"22",12,321160,3211605,1999,13,"","si","basal","pobre",12069002,1,"si",5,"primaria",6,571.67,4.91,1,"Female","Indigenous",60,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,751,-179.33,1
"27",12,238327,2383275,1999,14,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,767.5,2.1,1,"Male","Non Indigenous",51,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,751,16.5,0
"33",12,430968,4309684,1999,13,"","si","basal","pobre",12004018,1,"si",5,"primaria",7,706,4.17,1,"Female","Indigenous",35,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,0,1,1,751,-45,1
"35",12,561291,5612914,1999,17,"","0","basal","no pobre",12045004,1,"si",6,"primaria",6,834.5,1.87,1,"Female","Non Indigenous",53,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,83.5,0
"37",12,493194,4931946,1999,15,"","0","basal","no pobre",12042003,1,"si",6,"primaria",8,756.33,2.54,1,"Female","Non Indigenous",43,1,600,100,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,751,5.33000000000004,0
"41",12,520789,5207892,1999,19,"","","basal","no pobre",12045016,1,"si",1,"secundaria",6,762,3.11,1,"Female","Non Indigenous",38,0,700,200,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,11,0
"43",12,236745,2367459,1999,13,"","si","basal","pobre",12028054,1,"si",6,"primaria",6,782.33,2.62,1,"Female","Non Indigenous",54,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,0,1,751,31.33,0
"50",12,238338,2383384,1999,16,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,684.4,4.19,1,"Female","Non Indigenous",40,1,600,300,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-66.6,1
"55",12,520841,5208413,1999,18,"","0","basal","pobre",12045016,1,"",NA,"",NA,606.5,4.75,1,"Male","Non Indigenous",38,1,700,0,"1st Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-144.5,1
"64",12,525007,5250073,1999,16,"","si","basal","pobre",12041030,1,"si",6,"primaria",6,466,5.01,1,"Male","Indigenous",34,1,500,600,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-285,1
"71",12,396018,3960185,1999,16,"","0","basal","pobre",12002033,1,"si",3,"secundaria",6,636,4.26,1,"Male","Non Indigenous",47,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,751,-115,1
"74",12,236720,2367204,1999,15,"","0","basal","pobre",12028054,1,"si",2,"secundaria",6,667.5,2.88,1,"Male","Non Indigenous",39,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-83.5,1
"76",12,561091,5610915,1999,15,"","si","basal","pobre",12045004,1,"si",1,"secundaria",5,820,1.15,1,"Female","Non Indigenous",35,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,751,69,0
"83",12,497933,4979335,1999,18,"","0","basal","no pobre",12002014,1,"",NA,"",NA,767,3.57,1,"Male","Non Indigenous",39,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,751,16,0
"84",12,233137,2331375,1999,15,"","0","basal","pobre",12033002,1,"si",6,"primaria",7,689,2.65,1,"Female","Non Indigenous",51,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-62,1
"86",12,333110,3331103,1999,16,"","si","basal","pobre",12004018,1,"si",5,"primaria",9,709,5.05,1,"Male","Indigenous",51,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-42,1
"91",12,493154,4931546,1999,14,"","si","basal","no pobre",12042003,1,"si",6,"primaria",8,752.25,3.94,1,"Male","Non Indigenous",56,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,751,1.25,0
"93",12,233124,2331245,1999,16,"","0","basal","pobre",12033002,1,"no",NA,"",NA,708.71,4.77,1,"Female","Non Indigenous",41,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-42.29,1
"96",12,436030,4360305,1999,15,"","si","basal","no pobre",12010024,1,"si",1,"secundaria",6,850,2.64,1,"Female","Non Indigenous",42,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,751,99,0
"100",12,497867,4978673,1999,18,"","0","basal","pobre",12002014,1,"si",2,"secundaria",6,754.75,3.63,1,"Female","Non Indigenous",56,0,500,0,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,3.75,0
"105",12,524641,5246415,1999,16,"","si","basal","no pobre",12041032,1,"si",3,"secundaria",6,776.2,2.46,1,"Female","Indigenous",39,1,700,NA,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,751,25.2,0
"110",12,238292,2382924,1999,14,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,564,4.09,1,"Male","Non Indigenous",43,1,600,300,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,751,-187,1
"112",12,323360,3233606,1999,15,"","0","basal","pobre",12069002,1,"si",6,"primaria",6,550.5,5.4,1,"Female","Indigenous",52,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,751,-200.5,1
"117",12,525026,5250263,1999,15,"","si","basal","pobre",12041030,1,"si",1,"secundaria",5,657.4,5.49,1,"Female","Indigenous",34,1,600,800,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-93.6,1
"119",12,627275,6272755,1999,14,"","si","basal","no pobre",12004018,1,"si",1,"primaria",6,886,2.26,1,"Male","Indigenous",39,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,751,135,0
"121",12,395994,3959945,1999,14,"","0","basal","pobre",12002033,1,"si",6,"primaria",7,656.5,4.83,1,"Female","Non Indigenous",44,1,600,100,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-94.5,1
"127",12,233124,2331246,1999,12,"","0","basal","pobre",12033002,1,"si",5,"primaria",6,708.71,4.77,1,"Female","Non Indigenous",41,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,751,-42.29,1
"129",12,520858,5208583,1999,15,"","0","basal","pobre",12045016,1,"si",2,"secundaria",6,587,5.3,1,"Female","Non Indigenous",36,1,700,600,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-164,1
"133",12,541010,5410104,1999,15,"","0","basal","pobre",12028129,1,"si",6,"primaria",6,593,4.26,1,"Female","Indigenous",52,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,0,1,1,751,-158,1
"143",12,520846,5208465,1999,18,"","0","basal","pobre",12045016,1,"",NA,"",NA,648,5.41,1,"Female","Non Indigenous",58,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-103,1
"147",12,236713,2367133,1999,18,"","si","basal","pobre",12028054,1,"",NA,"",NA,534,4.29,1,"Female","Non Indigenous",40,0,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-217,1
"148",12,525008,5250085,1999,14,"","si","basal","pobre",12041030,1,"si",6,"primaria",7,617.5,3.88,1,"Male","Indigenous",67,0,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-133.5,1
"153",12,620110,6201106,1999,16,"","0","basal","pobre",12004018,1,"si",4,"primaria",8,718.5,4.22,1,"Male","Indigenous",77,1,700,0,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-32.5,1
"156",12,333330,3333304,1999,13,"","0","basal","pobre",12004018,1,"9",NA,"",NA,704,3.08,1,"Male","Indigenous",42,1,700,300,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,751,-47,1
"159",12,235766,2357668,1999,14,"","si","basal","pobre",12028054,1,"si",6,"primaria",6,776,1.5,1,"Male","Non Indigenous",20,1,500,600,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,751,25,0
"160",12,436029,4360294,1999,13,"","si","basal","pobre",12010024,1,"si",4,"primaria",6,693,3.17,1,"Male","Non Indigenous",35,1,700,400,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-58,1
"164",12,233047,2330472,1999,13,"","si","basal","pobre",12033002,1,"si",6,"primaria",6,768,2.45,1,"Male","Non Indigenous",51,0,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,1,1,751,17,0
"165",12,520761,5207617,1999,19,"","","basal","pobre",12045016,1,"",NA,"",NA,701.67,4.47,1,"Male","Non Indigenous",56,1,700,0,"1st Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-49.33,1
"166",12,170397,1703976,1999,14,"","si","basal","pobre",12028059,1,"si",1,"secundaria",6,699,2.64,1,"Male","Non Indigenous",38,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,751,-52,1
"175",12,396030,3960304,1999,13,"","si","basal","pobre",12002033,1,"si",6,"primaria",6,604,5.12,1,"Female","Non Indigenous",65,1,500,200,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,751,-147,1
"176",12,530929,5309293,1999,18,"","si","basal","pobre",12028032,1,"",NA,"",NA,622,3.13,1,"Female","Indigenous",65,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-129,1
"180",12,236709,2367095,1999,18,"","0","basal","pobre",12028054,1,"",NA,"",NA,694.33,4.24,1,"Female","Non Indigenous",42,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-56.67,1
"185",12,561421,5614213,1999,17,"","0","basal","no pobre",12045004,1,"si",1,"secundaria",6,883,0.76,1,"Male","Non Indigenous",45,1,600,400,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,751,132,0
"190",12,333460,3334604,1999,16,"","si","basal","pobre",12004018,1,"si",6,"primaria",8,760.33,3.77,1,"Female","Indigenous",47,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,751,9.33000000000004,0
"191",12,170471,1704714,1999,15,"","si","basal","pobre",12028059,1,"si",6,"primaria",6,668,3.43,1,"Male","Non Indigenous",47,1,500,100,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,751,-83,1
"197",12,436022,4360223,1999,13,"","si","basal","pobre",12010024,1,"si",6,"primaria",6,600,5.06,1,"Female","Non Indigenous",32,1,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,751,-151,1
"200",12,236551,2365515,1999,14,"","0","basal","pobre",12028054,1,"si",6,"primaria",6,660.5,5.22,1,"Female","Indigenous",34,1,600,0,"6th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,751,-90.5,1
"201",12,238317,2383174,1999,16,"","0","basal","pobre",12028086,1,"si",6,"primaria",7,758,3.29,1,"Male","Non Indigenous",76,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,751,7,0
"203",12,627275,6272754,1999,18,"","0","basal","no pobre",12004018,1,"",NA,"",NA,886,2.26,1,"Female","Indigenous",39,1,600,600,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,751,135,0
"209",12,493164,4931643,1999,17,"","0","basal","pobre",12042003,1,"si",5,"primaria",7,715.67,3.64,1,"Male","Non Indigenous",53,1,500,0,"5th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-35.33,1
"211",12,527741,5277414,1999,15,"","0","basal","pobre",12041030,1,"si",6,"primaria",7,580,4.3,1,"Female","Indigenous",65,0,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,751,-171,1
"217",12,235944,2359445,1999,17,"","0","basal","pobre",12028054,1,"9",NA,"",NA,658.32,4.31,1,"Female","Indigenous",38,1,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-92.6799999999999,1
"218",12,431245,4312453,1999,16,"","si","basal","pobre",12004018,1,"si",1,"secundaria",6,700,2.08,1,"Male","Indigenous",33,1,700,500,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,0,1,1,751,-51,1
"223",12,520818,5208183,1999,17,"","0","basal","pobre",12045016,1,"",NA,"",NA,600,4.54,1,"Female","Non Indigenous",41,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-151,1
"226",12,520797,5207975,1999,13,"","si","basal","pobre",12045016,1,"si",5,"primaria",6,650.5,5.23,1,"Female","Non Indigenous",46,1,500,300,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,751,-100.5,1
"230",12,530428,5304283,1999,18,"","0","basal","pobre",12028032,1,"",NA,"",NA,622.75,4.9,1,"Female","Indigenous",38,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-128.25,1
"234",12,235991,2359916,1999,14,"","0","basal","pobre",12028054,1,"",NA,"",NA,674.51,4.63,1,"Male","Indigenous",34,1,500,NA,"5th primary","using only (2)","matched (3)",14,"1 . 1",1,1,1,NA,1,1,751,-76.49,1
"239",12,493207,4932075,1999,14,"","si","basal","pobre",12042003,1,"9",NA,"",NA,602,4.86,1,"Female","Non Indigenous",69,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-149,1
"241",12,396018,3960183,1999,17,"","0","basal","pobre",12002033,1,"",NA,"",NA,636,4.26,1,"Male","Non Indigenous",47,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-115,1
"244",12,497875,4978754,1999,17,"","0","basal","pobre",12002014,1,"si",6,"primaria",6,780.33,3.81,1,"Male","Non Indigenous",39,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,29.33,0
"248",12,530374,5303745,1999,14,"","si","basal","pobre",12028032,1,"si",6,"primaria",6,717.25,3.14,1,"Male","Non Indigenous",43,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-33.75,1
"251",12,561371,5613714,1999,14,"","si","basal","pobre",12045004,1,"si",1,"secundaria",7,702,1.75,1,"Male","Non Indigenous",40,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,0,1,1,751,-49,1
"252",12,236639,2366394,1999,15,"","si","basal","pobre",12028054,1,"si",6,"primaria",8,626.67,4.59,1,"Male","Indigenous",38,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-124.33,1
"256",12,527722,5277224,1999,17,"","0","basal","pobre",12041030,1,"si",6,"primaria",8,721.67,3.35,1,"Male","Indigenous",72,1,600,400,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-29.33,1
"261",12,520868,5208683,1999,19,"","","basal","pobre",12045016,1,"",NA,"",NA,601.5,5.84,1,"Female","Non Indigenous",37,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-149.5,1
"262",12,527747,5277473,1999,18,"","","basal","pobre",12041030,1,"",NA,"",NA,689,2.56,1,"Male","Indigenous",37,1,800,400,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,751,-62,1
"263",12,236755,2367555,1999,14,"","si","basal","pobre",12028054,1,"si",1,"secundaria",6,755.5,2.79,1,"Female","Non Indigenous",59,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,751,4.5,0
"267",12,525010,5250104,1999,16,"","si","basal","pobre",12041030,1,"si",3,"secundaria",5,704,3.15,1,"Male","Indigenous",61,1,800,400,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-47,1
"268",12,520763,5207633,1999,16,"","si","basal","pobre",12045016,1,"si",1,"secundaria",6,644,4.73,1,"Male","Non Indigenous",30,1,600,600,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-107,1
"270",12,493212,4932126,1999,17,"","0","basal","pobre",12042003,1,"si",6,"primaria",6,701.5,4.61,1,"Male","Non Indigenous",46,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-49.5,1
"273",12,520841,5208414,1999,15,"","si","basal","pobre",12045016,1,"si",6,"primaria",6,606.5,4.75,1,"Male","Non Indigenous",38,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-144.5,1
"275",12,436057,4360573,1999,18,"","0","basal","pobre",12010024,1,"si",3,"prescolar o kinder",6,794.2,2.71,1,"Female","Non Indigenous",45,1,800,600,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,751,43.2,0
"285",12,321180,3211806,1999,17,"","0","basal","pobre",12069002,1,"si",6,"primaria",6,585,4.78,1,"Male","Indigenous",70,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-166,1
"289",12,524698,5246984,1999,16,"","si","basal","pobre",12041032,1,"si",1,"secundaria",6,588.04,3.69,1,"Male","Indigenous",60,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,751,-162.96,1
"291",12,561831,5618314,1999,12,"","0","basal","no pobre",12045004,1,"si",2,"secundaria",6,768,2.09,1,"Female","Non Indigenous",47,1,600,600,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,751,17,0
"294",12,561821,5618217,1999,14,"","si","basal","pobre",12045004,1,"si",6,"primaria",8,724.75,3.49,1,"Female","Non Indigenous",63,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,0,1,1,751,-26.25,1
"307",12,431493,4314935,1999,15,"","0","basal","no pobre",12004018,1,"si",5,"primaria",7,841.5,2.92,1,"Male","Indigenous",51,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,751,90.5,0
"319",12,170436,1704365,1999,15,"","si","basal","pobre",12028059,1,"si",6,"primaria",6,730,3.03,1,"Male","Non Indigenous",40,1,500,100,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-21,1
"320",12,527645,5276455,1999,17,"","si","basal","pobre",12041030,1,"si",3,"secundaria",7,788.33,5.12,1,"Male","Indigenous",54,1,800,600,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,751,37.33,0
"326",12,333810,3338104,1999,19,"","","basal","pobre",12004018,1,"",NA,"",NA,698,3.74,1,"Male","Indigenous",39,1,800,0,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-53,1
"343",12,520863,5208634,1999,16,"","0","basal","pobre",12045016,1,"no",NA,"",NA,724.5,4.52,1,"Male","Non Indigenous",50,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-26.5,1
"348",12,520843,5208433,1999,19,"","","basal","pobre",12045016,1,"",NA,"",NA,629,4.2,1,"Female","Non Indigenous",36,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-122,1
"349",12,396021,3960215,1999,14,"","0","basal","pobre",12002033,1,"si",6,"primaria",6,694,4.43,1,"Male","Non Indigenous",42,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-57,1
"367",12,524641,5246414,1999,18,"","si","basal","no pobre",12041032,1,"",NA,"",NA,776.2,2.46,1,"Female","Indigenous",39,1,800,NA,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,751,25.2,0
"369",12,236681,2366816,1999,15,"","si","basal","pobre",12028054,1,"si",2,"secundaria",6,499,4.57,1,"Male","Indigenous",70,1,700,0,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,0,1,1,751,-252,1
"375",12,431229,4312295,1999,16,"","si","basal","pobre",12004018,1,"si",6,"primaria",6,767,1.87,1,"Male","Indigenous",37,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,751,16,0
"376",12,493166,4931665,1999,13,"","0","basal","pobre",12042003,1,"9",NA,"",NA,709.5,4.27,1,"Female","Non Indigenous",37,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,0,1,751,-41.5,1
"379",12,238249,2382493,1999,16,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,646,4.24,1,"Female","Non Indigenous",46,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,751,-105,1
"382",12,620250,6202503,1999,15,"","si","basal","pobre",12004018,1,"si",6,"primaria",6,703,3.61,1,"Male","Indigenous",30,1,500,900,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,751,-48,1
"388",12,431206,4312066,1999,13,"","si","basal","pobre",12004018,1,"si",6,"primaria",7,673,3.47,1,"Male","Indigenous",37,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,751,-78,1
"390",12,236772,2367724,1999,13,"","si","basal","pobre",12028054,1,"si",1,"secundaria",6,674,3.22,1,"Male","Indigenous",48,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-77,1
"391",12,236569,2365695,1999,13,"","0","basal","pobre",12028054,1,"si",6,"primaria",7,768.8,3.72,1,"Male","Non Indigenous",37,1,500,200,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,751,17.8,0
"400",12,396002,3960022,1999,14,"","0","basal","pobre",12002033,1,"si",6,"primaria",7,676,4.1,1,"Male","Non Indigenous",31,0,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-75,1
"403",12,561411,5614112,1999,17,"","si","basal","pobre",12045004,1,"si",6,"primaria",6,729,2.56,1,"Female","Non Indigenous",25,0,700,400,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,1,0,1,1,751,-22,1
"404",12,561421,5614214,1999,13,"","si","basal","no pobre",12045004,1,"si",6,"primaria",6,883,0.76,1,"Female","Non Indigenous",45,1,500,400,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,751,132,0
"407",12,520781,5207812,1999,15,"","0","basal","pobre",12045016,1,"si",5,"primaria",5,614,4.76,1,"Female","Non Indigenous",44,0,500,300,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-137,1
"414",12,527743,5277434,1999,15,"","si","basal","pobre",12041030,1,"si",1,"secundaria",6,704,3.49,1,"Male","Indigenous",38,1,800,900,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,751,-47,1
"416",12,431210,4312102,1999,18,"","0","basal","pobre",12004018,1,"",NA,"",NA,708,4.35,1,"Male","Indigenous",31,0,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-43,1
"421",12,436041,4360414,1999,16,"","si","basal","no pobre",12010024,1,"si",6,"primaria",7,842.5,1.23,1,"Male","Non Indigenous",48,1,500,600,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,751,91.5,0
"423",12,333180,3331804,1999,14,"","si","basal","pobre",12004018,1,"si",2,"primaria",7,776.5,3.44,1,"Male","Indigenous",56,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,751,25.5,0
"426",12,233108,2331087,1999,15,"","si","basal","pobre",12033002,1,"si",6,"primaria",7,656,3.61,1,"Female","Non Indigenous",40,1,500,200,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-95,1
"442",12,561361,5613615,1999,14,"","si","basal","pobre",12045004,1,"si",6,"primaria",6,709,3.66,1,"Male","Indigenous",50,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,0,0,1,751,-42,1
"443",12,238235,2382355,1999,16,"","0","basal","pobre",12028086,1,"9",NA,"",NA,704.33,2.83,1,"Female","Non Indigenous",48,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,0,1,1,751,-46.67,1
"447",12,431225,4312254,1999,13,"","si","basal","pobre",12004018,1,"si",5,"primaria",7,730.5,4,1,"Male","Indigenous",42,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,0,1,1,751,-20.5,1
"448",12,436031,4360314,1999,16,"","si","basal","pobre",12010024,1,"si",1,"secundaria",7,771.75,3.05,1,"Male","Indigenous",40,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,751,20.75,0
"451",12,436042,4360423,1999,14,"","si","basal","pobre",12010024,1,"si",6,"primaria",7,705,4.27,1,"Female","Non Indigenous",40,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,751,-46,1
"456",12,333840,3338405,1999,17,"","0","basal","pobre",12004018,1,"9",NA,"",NA,675.5,4.84,1,"Male","Indigenous",67,1,600,100,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-75.5,1
"459",12,530932,5309326,1999,14,"","si","basal","pobre",12028032,1,"si",6,"primaria",6,647.5,4.27,1,"Female","Indigenous",43,1,700,0,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,751,-103.5,1
"464",12,530919,5309194,1999,19,"","","basal","no pobre",12028032,1,"",NA,"",NA,841.25,2.87,1,"Male","Indigenous",46,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,751,90.25,0
"468",12,530429,5304293,1999,16,"","0","basal","pobre",12028032,1,"",NA,"",NA,639.33,4.68,1,"Male","Indigenous",39,1,600,0,"6th primary","using only (2)","matched (3)",17,"1 . 1",1,1,1,1,0,1,751,-111.67,1
"470",12,530426,5304265,1999,18,"","0","basal","pobre",12028032,1,"",NA,"",NA,677.67,4.29,1,"Male","Indigenous",NA,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-73.33,1
